Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
7/11/25,Superman,2025,https://boxd.it/ahUzWf,5,,"ronnie's, imax, solo",7/10/25
7/20/25,Superman,2025,https://boxd.it/aoFVh7,5,Yes,"imax, ronnie's, w/dad!, w/tay!",7/18/25
7/24/25,Eddington,2025,https://boxd.it/arOgAx,2,,"ronnie's, solo",7/22/25
7/25/25,Gladiator,2000,https://boxd.it/asWhch,4.5,Yes,,7/24/25
7/28/25,The Fantastic 4: First Steps,2025,https://boxd.it/av57uV,3.5,,"ronnie's, imax, w/dad!",7/26/25
7/30/25,Arsenic and Old Lace,1944,https://boxd.it/awWWrX,4,Yes,,7/27/25
8/4/25,The Naked Gun,2025,https://boxd.it/aBdONL,3.5,,"ronnie's, w/dad!",8/3/25
8/7/25,Batman: Year One,2011,https://boxd.it/aDydX5,3,,,8/6/25
8/14/25,Excalibur,1981,https://boxd.it/aIFYOt,4,,,8/10/25
8/15/25,"Batman: The Long Halloween, Part One",2021,https://boxd.it/aJm1G7,2.5,,,8/13/25
8/15/25,"Batman: The Long Halloween, Part Two",2021,https://boxd.it/aJAsub,2.5,,,8/14/25
8/22/25,Ordet,1955,https://boxd.it/aOTlEB,4.5,,,8/15/25
8/22/25,Babette's Feast,1987,https://boxd.it/aOTpTl,5,,on a plane,8/16/25
8/22/25,Hamlet,1948,https://boxd.it/aOTvfh,3,,on a plane,8/16/25
8/22/25,The Northman,2022,https://boxd.it/aOTzRf,4,,on a plane,8/17/25
8/22/25,My Favorite Wife,1940,https://boxd.it/aOTI6d,3.5,,on a plane,8/17/25
8/26/25,The Great Gatsby,2013,https://boxd.it/aRqhm3,3,,on a plane,8/23/25
8/26/25,Ocean's Eight,2018,https://boxd.it/aRujW1,3.5,,on a plane,8/23/25
8/27/25,Honey Don't!,2025,https://boxd.it/aSe7hH,2,,"ronnie's, solo",8/25/25
9/3/25,The Roses,2025,https://boxd.it/aWXnRx,3,,"ronnie's, w/dad!",8/31/25
9/5/25,Jaws,1975,https://boxd.it/aYbfrX,5,,"ronnie's, imax, solo",9/1/25
9/12/25,Caught Stealing,2025,https://boxd.it/b2sNpL,3.5,,"ronnie's, solo",9/8/25
9/12/25,The Philadelphia Story,1940,https://boxd.it/b2z5Z5,4.5,,,9/8/25
9/15/25,It Happened One Night,1934,https://boxd.it/b4QaYN,4.5,Yes,,9/14/25
